[Hoja: Sheet1]
A1=Error code | B1=Error Description
A219=2907 | B219=The fence door is not closed
A220=3000 | B220=伺服报警
A221=3001 | B221=Oil pump is lack of oil
A222=3002 | B222=Side block not back to origin
A223=3100 | B223=Side block direction is inconsistent with set value
A224=3101 | B224=Please quit mechanical origin correction mode.
A225=3200 | B225=Axis positive limt
A226=3300 | B226=Axis negative limit
A227=3400 | B227=Side block fwd limit
A228=3401 | B228=Side block bwd limit
A229=3500 | B229=No existing panel
A230=3501 | B230=Board detected to be too long
A231=3502 | B231=Board detected to be too short
A232=3503 | B232=Board is too wide
A233=3504 | B233=Board is too narrow
A234=3505 | B234=Board is too thick
A235=3506 | B235=Board is too thin
A236=3600 | B236=Grip X is in unsafe area and can not unclamp
A237=3601 | B237=Grip A is in unsafe area and can not unclamp
A238=3602 | B238=The saw blade is too close to the countertop
A239=3603 | B239=The robot X pusher cylinder is not pushed back in place
A240=3604 | B240=Manipulator A pusher cylinder is not pushed back in place
A241=3605 | B241=This operation is not allowed when the robot X is closed
A242=3606 | B242=This operation is not allowed when robot A is closed
A243=3607 | B243=Manual limit
A244=3700 | B244=Axis move timeout
A245=3701 | B245=Waiting for input signal timeout
A246=3702 | B246=Waiting for motor start ready timeout
A247=3703 | B247=Waiting for the completion of the exercise state timeout
A248=3704 | B248=Waiting for inverter frequency to time out
A249=3705 | B249=变频器当前频率与目标频率相差过大
A250=3706 | B250=超时
A251=6800 | B251=Thread exit (when software is closed )
A252=6801 | B252=Procedure error
A253=6802 | B253=NC is busy in processing thread (currently not in idle state, please cancel processing or wait for the completion of machining)
A254=6803 | B254=NC processes thread in non-listening state (Files can be added or modified only in the listening state, otherwise the processing must be canceled first)
A255=6804 | B255=Quantity of processing files is 0
A256=6805 | B256=Content of the processed file empty
A257=6806 | B257=Path of the file to be processed empty
A258=6807 | B258=Failed to match with processing ID
A259=6808 | B259=Beyond processing type
A260=6809 | B260=The start and end of the slot do not match
A261=6810 | B261=Cancel processing
A262=6811 | B262=Processing functions cannot be used in the demo version
A263=6812 | B263=File is being generated, please try again later
A264=6900 | B264=Homing thread is busy (currently conducting other homing actions, please wait for completion)
A265=6901 | B265=The first file can not be modified in auto mode
A266=6902 | B266=Manual mode is not allowed in auto mode
